"","X","X2.5","X50","X97.5"
"48","beta_0","-0.546548663438761","1.69457524074999","5.03771327485488"
"49","beta_1","0.903113854395874","2.55379764683021","7.45648256683555"
"50","p_1988","0.160522742281349","0.360270940454479","0.573607477906117"
"51","p_2022","0.741333547752819","0.818296907234727","0.889586008600609"
"52","p_max","0.74627296712181","0.831709829435402","0.931962843928979"
"53","p_min","0.017565271382512","0.271634019860529","0.556416806492626"
"54","abortion_rate_2022","0.0103792687441086","0.0940260452110673","0.207367206233363"
"55","K","131185.056824218","218923.236307724","340260.212043155"
"56","theta_0","0.00770049560943612","0.0961788921598225","0.251809158580277"
"57","theta_0_raw","0.130308292345124","0.587029157200027","0.964656798524554"
"58","w","0.481130788183109","0.602579845645469","0.741341207039533"
"59","w_pup","0.115484776328999","0.346507714267157","0.604107626682046"
"60","delta","0.201129318991294","0.577070191942357","0.944210730675964"
"61","w_baseline","0.394568308007186","0.512645772080996","0.648492199402452"
"62","wt_max","0.684997141224302","0.886218508774035","0.97411976571184"
"63","w_ice_max","0.700366393127392","0.910807508127915","0.994173888328576"
"64","w_ice_min","0.29556001279721","0.43802168932932","0.616348178230459"
"65","d","0.000948949483520386","0.0254948046364717","0.192800412537754"
"66","f","0.917631370227409","11.8666875574723","22.8731263506027"
"67","alpha_0","6.24313110921331","17.5591359567511","209.651103760238"
"68","alpha_1","4.46081438784913","10.9638032130925","130.694948687176"
"69","E_fi","0.261593723829195","0.446497878762288","0.816769349138478"
"70","E_sw_spring","0.000631638850490156","0.00152276285113815","0.00387114359829147"
"71","E_sw_fall","0.000374069559970384","0.00107851165562872","0.00403091892147204"
"72","sigma_fi","0.188541337938428","0.475162173433672","1.29089228275505"
"73","sigma_sw_spring","0.639252843107336","1.02481198284688","1.95136578204683"
"74","sigma_sw_fall","0.645815130233885","1.23663714738386","3.27719461444426"
"75","pi_s","0.853155932375911","0.928233048735302","0.991653221928709"
"76","pi_c","0.914322899174196","0.970630998691868","0.995595151009802"
"77","kappa","0.003880642573008","0.0863219456919744","0.257438777486014"
"78","r","17.1516356785232","32.9650759056557","56.5955840476354"
"79","rel_bc_0_1","4.05045634142077","7.82263425686543","16.0353216882167"
"80","rel_bc0_m_f","1.01271808489592","1.36996247571608","1.88397140581762"
"81","max_Rhat","1.00524019649011","1.00524019649011","1.00524019649011"
"82","min_ESS","942.766265185227","942.766265185227","942.766265185227"
"83","Critical hunting 2023","1160.33239802846","1719.57874133867","2630.50365537687"
"84","Target hunting 2023","3.43358407963502e-06","6.09097332782265e-06","384.695370250798"
