year,month,day,age,sex,source,body_length,CA,placental_scar
2008,4,24,0,1,1,,,
2008,4,30,0,1,1,,,
2008,4,30,,1,1,,,
2008,4,16,,1,1,,,
2008,4,19,0,1,1,,,
2008,4,22,0,1,1,,,
2008,4,22,,1,1,,,
2008,5,30,1,2,1,104,0,
2008,5,30,13,1,1,135,,
2008,5,30,1,2,1,109,0,
2008,6,30,,0,4,,,
2008,6,9,14,2,1,128,1,
2008,6,1,1,2,1,117,,
2008,6,1,1,1,1,103,,
2008,6,3,18,2,1,130,1,
2008,6,5,25,1,1,142,,
2008,6,7,2,1,1,110,,
2008,6,9,15,1,1,129,,
2008,6,11,0,1,1,73,,
2008,6,14,0,1,1,94,,
2009,4,22,0,2,2,80,,
2009,4,28,8,1,1,138,,
2009,4,29,11,1,1,125,,
2009,4,29,9,1,1,136,,
2009,4,29,6,1,1,135,,
2009,4,30,12,1,1,134,,
2009,4,30,13,1,1,143,,
2009,4,30,5,1,1,136,,
2009,5,20,12,2,1,131,1,
2009,5,20,6,2,1,126,1,
2009,5,22,1,2,1,114,0,
2009,5,22,27,2,1,132,1,
2009,5,24,14,2,1,130,1,
2009,5,24,5,2,1,120,0,
2009,5,14,8,1,1,133,,
2009,5,15,12,1,1,122,,
2009,5,1,9,1,1,140,,
2009,5,1,8,2,1,133,0,
2009,5,1,6,1,1,139,,
2009,6,6,6,2,1,118,1,
2009,7,10,0,0,1,,,
2009,7,31,0,1,1,95,,
2009,9,5,0,1,4,110,,
2009,10,18,8,2,1,121,0,
2009,10,20,20,2,1,133,1,
2009,10,27,8,2,1,157,0,
2009,10,2,3,1,1,114,,
2009,10,9,12,1,1,142,,
2009,10,9,6,1,1,132,,
2009,10,12,14,1,1,138,,
2009,10,24,15,1,1,159,,
2009,10,29,9,1,1,147,,
2009,10,31,7,1,1,146,,
2009,10,27,13,2,1,128,0,
2009,11,,4,1,1,,,
2009,11,5,5,1,1,140,,
2009,11,5,16,1,1,144,,
2009,11,7,2,1,1,124,,
2009,11,5,6,2,1,127,1,
2010,5,,6,1,4,,,
2010,9,,0,2,4,125,0,
2010,9,,11,1,1,144,,
2010,10,,0,1,1,108,,
2010,10,,10,1,1,137,,
2010,10,,11,1,1,150,,
2011,5,,24,1,,,,
2011,5,,9,2,,,0,
2011,5,,4,2,,,,1
2011,5,,8,2,,,1,1
2011,5,29,5,2,4,90,1,1
2011,5,,5,2,4,100,0,
2011,5,,6,2,4,90,,1
2011,5,,2,2,4,100,,
2011,11,,2,1,4,110,,
2012,9,16,,2,4,,,
2012,9,28,0,1,4,94,,
2012,10,7,1,2,1,,0,
2012,10,8,10,1,1,,,
2012,10,8,1,2,1,,0,
2012,10,8,14,2,1,,,
2013,4,22,3,1,4,115,,
2013,4,20,1,1,4,116,,
2013,10,19,0,2,4,104,0,
2013,10,22,24,1,1,,,
2013,11,2,0,2,2,115,,
2013,11,2,0,1,4,134,,
2013,11,2,1,2,1,,0,0
2013,11,17,6,2,4,164,0,
2013,11,3,8,1,1,,,
2013,11,3,,1,1,,,
2014,4,27,0,2,1,100,,
2014,4,10,0,2,2,,,
2014,4,15,0,1,2,70,,
