"year","month","date","sex","age","body_length","spring"
2020,5,"2020-05-15","f",9,110,TRUE
2020,10,"2020-10-16","m",14,145,FALSE
2020,9,"2020-09-07","f",10,129,FALSE
2020,10,"2020-10-12","m",9,125,FALSE
2020,9,"2020-09-01","f",8,133,FALSE
2020,10,"2020-10-16","f",NA,135,FALSE
2020,9,"2020-09-24","m",11,138,FALSE
2019,9,"2019-09-05","m",27,138.5,FALSE
2019,9,"2019-09-14","m",16,133.5,FALSE
2019,10,"2019-10-04","f",6,134.5,FALSE
2020,5,"2020-05-15","f",0,110,TRUE
2020,5,"2020-05-15","f",0,113,TRUE
2020,5,"2020-05-14","f",1,105,TRUE
2020,5,"2020-05-14","f",7,110,TRUE
2020,5,"2020-05-12","f",1,104,TRUE
2020,5,"2020-05-25","f",7,125,TRUE
2020,5,"2020-05-12","f",3,115,TRUE
2020,5,"2020-05-17","f",0,100,TRUE
2020,5,"2020-05-26","f",10,125,TRUE
2020,5,"2020-05-17","f",15,140,TRUE
2020,5,"2020-05-31","f",5,115,TRUE
2020,5,"2020-05-18","f",4,120,TRUE
2020,5,"2020-05-18","f",17,140,TRUE
2020,5,"2020-05-17","f",6,122,TRUE
2020,5,"2020-05-17","f",0,105,TRUE
2020,5,"2020-05-20","f",10,135,TRUE
2020,5,"2020-05-17","f",1,107,TRUE
2019,9,"2019-09-14","f",5,112,FALSE
2019,9,"2019-09-27","m",10,138,FALSE
2019,9,"2019-09-27","m",11,122.5,FALSE
2019,9,"2019-09-04","m",12,134,FALSE
2019,9,"2019-09-04","m",0,92,FALSE
2019,9,"2019-09-04","f",0,91,FALSE
2019,10,"2019-10-06","f",0,90,FALSE
2019,10,"2019-10-10","f",NA,127.5,FALSE
2019,10,"2019-10-08","f",10,123,FALSE
2019,10,"2019-10-10","m",2,113,FALSE
2019,9,"2019-09-27","m",5,122,FALSE
2020,5,"2020-05-25","f",9,120,TRUE
2019,6,"2019-06-07","m",NA,129,TRUE
2019,8,"2019-08-28","m",13,132,FALSE
2019,8,"2019-08-28","f",15,133.5,FALSE
2019,8,"2019-08-28","f",7,127,FALSE
2019,9,"2019-09-29","m",5,127,FALSE
2019,8,"2019-08-30","f",5,123,FALSE
2019,9,"2019-09-27","f",1,92,FALSE
2019,9,"2019-09-03","f",9,128,FALSE
2019,8,"2019-08-31","f",9,123,FALSE
2019,9,"2019-09-07","f",6,133,FALSE
2019,9,"2019-09-18","m",20,125,FALSE
2019,9,"2019-09-15","m",12,136,FALSE
2019,9,"2019-09-14","m",21,133,FALSE
2019,10,"2019-10-10","m",0,83,FALSE
2019,9,"2019-09-18","m",13,122,FALSE
2021,10,"2021-10-13","m",NA,138,FALSE
2021,9,"2021-09-04","m",2,115,FALSE
2021,9,"2021-09-04","f",1,107,FALSE
2021,9,"2021-09-04","m",5,125,FALSE
2021,9,"2021-09-18","f",7,127,FALSE
2021,9,"2021-09-01","f",11,140,FALSE
2021,9,"2021-09-01","m",22,147,FALSE
2021,9,"2021-09-05","f",6,137,FALSE
2019,10,"2019-10-10","m",13,133.5,FALSE
2019,9,"2019-09-18","m",9,122.5,FALSE
2021,10,"2021-10-09","m",10,139,FALSE
2021,9,"2021-09-16","m",19,143,FALSE
2021,9,"2021-09-18","m",8,139,FALSE
2021,9,"2021-09-16","m",14,139,FALSE
2021,9,"2021-09-18","m",23,157,FALSE
2021,10,"2021-10-10","f",9,134,FALSE
2021,9,"2021-09-16","m",9,131,FALSE
2021,10,"2021-10-13","m",10,150,FALSE
2021,10,"2021-10-13","f",NA,145,FALSE
2021,10,"2021-10-13","m",14,150,FALSE
2021,9,"2021-09-01","f",21,140,FALSE
2019,9,"2019-09-23","f",0,91,FALSE
2021,9,"2021-09-01","f",16,135,FALSE
2021,10,"2021-10-13","f",12,138,FALSE
2021,9,"2021-09-05","f",8,133,FALSE
2021,9,"2021-09-01","m",NA,145,FALSE
2021,9,"2021-09-11","f",NA,140,FALSE
2021,10,"2021-10-13","m",15,140,FALSE
2021,9,"2021-09-01","m",25,145,FALSE
2021,5,"2021-05-10","f",8,115,TRUE
2021,10,"2021-10-10","m",22,148,FALSE
2021,10,"2021-10-13","f",4,125,FALSE
2021,9,"2021-09-09","f",25,146,FALSE
2021,10,"2021-10-09","m",10,137,FALSE
2021,9,"2021-09-01","m",14,152,FALSE
2021,10,"2021-10-09","f",9,127,FALSE
2019,9,"2019-09-07","m",3,130,FALSE
2019,9,"2019-09-07","m",16,136,FALSE
2019,9,"2019-09-07","m",16,113.5,FALSE
2021,10,"2021-10-19","f",12,141,FALSE
2019,5,"2019-05-17","f",1,100,TRUE
2019,5,"2019-05-17","f",2,102,TRUE
2019,5,"2019-05-18","m",2,106,TRUE
2021,5,"2021-05-16","f",10,107,TRUE
2021,5,"2021-05-16","f",3,100,TRUE
2021,5,"2021-05-16","f",8,119,TRUE
2021,5,"2021-05-16","f",5,120,TRUE
2021,5,"2021-05-10","f",1,106,TRUE
2021,5,"2021-05-16","f",10,128,TRUE
2021,5,"2021-05-13","f",9,120,TRUE
2021,5,"2021-05-15","f",13,115,TRUE
2021,5,"2021-05-16","f",7,125,TRUE
2021,5,"2021-05-16","f",6,120,TRUE
2021,5,"2021-05-10","f",0,106,TRUE
2021,5,"2021-05-16","f",16,120,TRUE
2019,10,"2019-10-10","m",28,135,FALSE
2019,10,"2019-10-10","m",1,122,FALSE
2021,5,"2021-05-07","f",11,135,TRUE
2021,5,"2021-05-07","f",9,135,TRUE
2021,5,"2021-05-05","f",7,130,TRUE
2021,5,"2021-05-06","f",1,115,TRUE
2021,5,"2021-05-16","f",5,122,TRUE
2021,5,"2021-05-16","f",8,119,TRUE
