"year","month","date","source","sex","age","body_length","pregnant","CA","placental_scar"
2019,6,NA,"hunted","f",8,122,NA,1,1
2018,10,"2018-10-20","hunted","m",15,151,NA,NA,NA
2018,10,"2018-10-20","hunted","f",10,134,1,NA,NA
2018,10,"2018-10-20","hunted","m",14,138.5,NA,NA,NA
2018,10,"2018-10-20","hunted","f",NA,34,NA,NA,NA
2018,10,"2018-10-20","hunted","m",7,139.5,NA,NA,NA
2018,10,"2018-10-20","hunted","f",7,142,1,1,NA
2018,11,"2018-11-14","hunted","m",17,150,NA,NA,NA
2018,10,"2018-10-04","hunted","f",5,123,1,1,NA
2018,10,"2018-10-04","hunted","m",9,133,NA,NA,NA
2018,10,"2018-10-04","hunted","f",7,135.5,1,0,NA
2019,9,"2019-09-08","hunted","f",9,134.5,0,1,NA
2019,9,"2019-09-09","hunted","m",12,118,NA,NA,NA
2018,11,"2018-11-04","hunted","m",13,132.5,NA,NA,NA
2019,9,"2019-09-07","hunted","m",13,130,NA,NA,NA
2018,11,"2018-11-03","hunted","f",5,115,1,0,NA
2018,10,"2018-10-24","hunted","m",5,124,NA,NA,NA
2018,10,"2018-10-09","hunted","f",4,114,1,0,0
2019,8,"2019-08-26","hunted","m",7,129.5,NA,NA,NA
2018,10,"2018-10-09","hunted","m",5,112.5,NA,NA,NA
2019,5,"2019-05-26","hunted","m",26,135,NA,NA,NA
2019,6,"2019-06-12","hunted","f",7,130,NA,0,0
2019,5,"2019-05-28","hunted","m",26,150,NA,NA,NA
2019,6,"2019-06-02","hunted","f",12,130,NA,1,0
2019,6,"2019-06-12","hunted","m",16,135,NA,NA,NA
2019,6,"2019-06-12","hunted","f",2,100,NA,0,0
2019,6,"2019-06-02","hunted","f",8,120,NA,NA,0
2019,6,"2019-06-12","hunted","f",14,140,NA,1,1
2019,6,"2019-05-26","hunted","m",9,125,NA,NA,NA
2019,5,"2019-05-17","hunted","m",0,115,NA,NA,NA
2019,5,"2019-05-14","hunted","f",3,120,NA,NA,NA
2018,11,"2018-11-14","hunted","f",7,122,0,0,1
2019,8,"2019-08-29","hunted","m",20,127.5,NA,NA,NA
2018,11,"2018-11-14","hunted","m",2,128,NA,NA,NA
2015,5,"2015-05-07","bycaught","f",0,78,NA,0,0
2019,6,"2019-06-02","hunted","m",2,130,NA,NA,NA
2019,6,"2019-06-02","hunted","f",NA,125,NA,1,0
2019,6,"2019-06-02","hunted","f",NA,105,NA,NA,NA
2019,6,"2019-05-16","hunted","m",27,145,NA,NA,NA
2020,10,"2020-10-12","hunted","m",9,134,NA,NA,NA
2020,9,"2020-09-01","hunted","f",23,123,0,1,0
2020,9,"2020-09-01","hunted","f",NA,140,1,0,0
2020,9,"2020-09-01","hunted","f",10,140,1,0,0
2020,9,"2020-09-01","hunted","f",17,132,1,0,0
2020,9,"2020-09-01","hunted","m",17,153,NA,NA,NA
2020,9,"2020-09-01","hunted","f",15,136,1,1,0
2020,10,"2020-10-02","hunted","m",17,146,NA,NA,NA
2020,10,"2020-10-16","hunted","m",7,143,NA,NA,NA
2020,9,"2020-09-01","hunted","f",16,136,0,0,0
2020,10,"2020-10-02","hunted","m",17,136,NA,NA,NA
2020,10,"2020-10-02","hunted","m",18,138,NA,NA,NA
2020,10,"2020-10-16","hunted","m",8,145,NA,NA,NA
2020,9,"2020-09-07","hunted","f",13,139,1,1,0
2020,9,"2020-09-15","hunted","m",18,153,NA,NA,NA
2020,12,"2020-12-12","stranded","f",20,133.5,0,1,NA
2020,10,"2020-10-12","hunted","m",6,132,NA,NA,NA
2020,10,"2020-10-16","hunted","f",9,149,1,0,0
2020,10,"2020-10-16","hunted","m",14,148,NA,NA,NA
2020,9,"2020-09-02","hunted","m",NA,146,NA,NA,NA
2020,10,"2020-10-01","hunted","m",11,140,NA,NA,NA
2020,9,"2020-09-15","hunted","f",10,151,1,1,0
2020,9,"2020-09-24","hunted","f",3,116,NA,0,0
2020,9,"2020-09-01","hunted","f",8,126,1,0,0
2020,9,"2020-09-14","hunted","f",13,133,1,0,0
2020,10,"2020-10-14","hunted","f",14,112,0,0,0
2020,10,"2020-10-16","hunted","m",11,144,NA,NA,NA
2020,10,"2020-10-12","hunted","f",NA,132,0,0,0
2020,10,"2020-10-16","hunted","m",13,151,NA,NA,NA
2020,10,"2020-10-16","hunted","m",20,150,NA,NA,NA
2020,10,"2020-10-03","hunted","f",10,127,1,0,0
2020,10,"2020-10-16","hunted","f",7,130,1,0,0
2020,9,"2020-09-02","hunted","f",NA,136,1,0,0
2020,9,"2020-09-01","hunted","m",10,135,NA,NA,NA
2020,10,"2020-10-16","hunted","m",1,117,NA,NA,NA
2020,9,"2020-09-14","hunted","f",21,130,0,0,0
2020,9,"2020-09-30","hunted","f",13,130,0,0,0
2020,5,"2020-05-15","hunted","f",11,115,NA,1,NA
2020,5,"2020-05-15","hunted","f",5,110,NA,0,0
2020,5,"2020-05-15","hunted","f",9,110,NA,0,1
2020,10,"2020-10-16","hunted","m",14,145,NA,NA,NA
2020,9,"2020-09-07","hunted","f",10,129,1,0,0
2020,10,"2020-10-12","hunted","m",9,125,NA,NA,NA
2020,9,"2020-09-01","hunted","f",8,133,1,1,0
2020,10,"2020-10-16","hunted","f",NA,135,1,1,NA
2020,9,"2020-09-24","hunted","m",11,138,NA,NA,NA
2019,9,"2019-09-05","hunted","m",27,138.5,NA,NA,NA
2019,9,"2019-09-14","hunted","m",16,133.5,NA,NA,NA
2019,10,"2019-10-04","hunted","f",6,134.5,1,1,0
2020,5,"2020-05-15","hunted","f",0,110,NA,0,0
2020,5,"2020-05-15","hunted","f",0,113,NA,0,0
2020,5,"2020-05-14","hunted","f",1,105,NA,0,0
2020,5,"2020-05-14","hunted","f",7,110,NA,1,0
2020,5,"2020-05-12","hunted","f",1,104,NA,0,0
2020,5,"2020-05-25","hunted","f",7,125,NA,1,0
2020,5,"2020-05-12","hunted","f",3,115,NA,0,0
2020,5,"2020-05-17","hunted","f",0,100,NA,0,0
2020,5,"2020-05-26","hunted","f",10,125,NA,0,0
2020,5,"2020-05-17","hunted","f",15,140,NA,0,0
2020,NA,NA,"bycaught","m",0,NA,NA,NA,NA
2020,5,"2020-05-31","hunted","f",5,115,NA,0,0
2020,5,"2020-05-18","hunted","f",4,120,NA,1,0
2020,5,"2020-05-18","hunted","f",17,140,NA,0,0
2020,5,"2020-05-17","hunted","f",6,122,NA,1,0
2020,5,"2020-05-17","hunted","f",0,105,NA,0,0
2020,5,"2020-05-20","hunted","f",10,135,NA,0,0
2020,5,"2020-05-17","hunted","f",1,107,NA,0,0
2019,9,"2019-09-14","hunted","f",5,112,1,1,1
2020,NA,NA,"bycaught","f",0,80,NA,0,0
2020,NA,NA,"bycaught","m",0,85,NA,NA,NA
2019,9,"2019-09-27","hunted","m",10,138,NA,NA,NA
2019,9,"2019-09-27","hunted","m",11,122.5,NA,NA,NA
2019,9,"2019-09-04","hunted","m",12,134,NA,NA,NA
2019,9,"2019-09-04","hunted","m",0,92,NA,NA,NA
2019,9,"2019-09-04","hunted","f",0,91,0,0,0
2019,10,"2019-10-06","hunted","f",0,90,NA,0,0
2019,10,"2019-10-10","hunted","f",NA,127.5,1,0,1
2019,10,"2019-10-08","hunted","f",10,123,1,1,0
2019,10,"2019-10-10","hunted","m",2,113,NA,NA,NA
2019,9,"2019-09-27","hunted","m",5,122,NA,NA,NA
2020,5,"2020-05-25","hunted","f",9,120,0,1,1
2019,6,"2019-06-07","hunted","m",NA,129,NA,NA,NA
2019,8,"2019-08-28","hunted","m",13,132,NA,NA,NA
2019,8,"2019-08-28","hunted","f",15,133.5,1,1,1
2019,8,"2019-08-28","hunted","f",7,127,1,1,0
2019,9,"2019-09-29","hunted","m",5,127,NA,NA,NA
2019,8,"2019-08-30","hunted","f",5,123,1,0,0
2019,9,"2019-09-27","hunted","f",1,92,0,0,0
2019,9,"2019-09-03","hunted","f",9,128,1,0,0
2019,8,"2019-08-31","hunted","f",9,123,1,1,1
2019,9,"2019-09-07","hunted","f",6,133,1,0,0
2019,9,"2019-09-18","hunted","m",20,125,NA,NA,NA
2019,9,"2019-09-15","hunted","m",12,136,NA,NA,NA
