"","x"
"322",0.619178082191781
"323",0.515068493150685
"324",0.191780821917808
"325",0.208219178082192
"326",0.208219178082192
"327",0.208219178082192
"328",0.208219178082192
"329",0.191780821917808
"330",0.208219178082192
"331",0.208219178082192
"332",0.635616438356164
"333",0.515068493150685
"334",0.208219178082192
"335",0.208219178082192
"336",0.208219178082192
"337",0.208219178082192
"338",0.210958904109589
"339",0.210958904109589
"340",0.227397260273973
"341",0.227397260273973
"342",0.235616438356164
"343",0.208219178082192
"344",0.183561643835616
"345",0.167123287671233
"346",0.167123287671233
"347",0.189041095890411
"348",0.186301369863014
"349",0.186301369863014
"350",0.243835616438356
"351",0.186301369863014
"352",0.243835616438356
"353",0.202739726027397
"354",0.205479452054795
"355",0.210958904109589
"356",0.205479452054795
"357",0.213698630136986
"358",0.178082191780822
"359",0.284931506849315
"360",0.284931506849315
"361",0.175342465753425
"362",0.246575342465753
"363",0.175342465753425
"364",0.175342465753425
"365",0.175342465753425
"366",0.167123287671233
"367",0.235616438356164
"368",0.167123287671233
"369",0.167123287671233
"370",0.167123287671233
"371",0.167123287671233
"372",0.167123287671233
"373",0.167123287671233
"374",0.167123287671233
"375",0.512328767123288
"376",0.504109589041096
"377",0.504109589041096
"378",0.512328767123288
