accnr,year,month,date,source,sex,age,body_length,gravid,CA,placental_scar
A2017/05715,2016,5,2016-05-24,hunted,f,21,122,FALSE,TRUE,NA
A2017/05716,2016,5,NA,hunted,m,6,120,NA,NA,NA
A2017/05717,2016,5,2016-05-07,hunted,f,13,102,FALSE,NA,NA
A2017/05718,2016,5,2016-05-11,hunted,m,10,160,NA,NA,NA
A2017/05720,2015,9,2015-09-07,hunted,f,11,117,NA,TRUE,TRUE
A2017/05787,2016,5,2016-05-07,hunted,m,21,130,NA,NA,NA
A2017/05813,2015,6,2015-06-09,hunted,m,3,140,NA,NA,NA
A2017/05814,2015,10,2015-10-11,hunted,m,9,135,NA,NA,NA
A2017/05816,2017,5,2017-05-06,hunted,m,18,135,NA,NA,NA
A2017/05818,2018,6,2018-06-01,hunted,f,17,132,NA,TRUE,NA
A2017/05819,2018,6,2018-06-09,hunted,f,5,138,FALSE,TRUE,NA
A2017/05820,2018,6,2018-06-09,hunted,f,1,117,NA,FALSE,FALSE
A2017/05821,2018,6,2018-06-09,hunted,f,1,111,NA,FALSE,FALSE
A2017/05822,2016,10,2016-10-23,hunted,m,9,140,NA,NA,NA
A2017/05823,2016,10,2016-10-23,hunted,m,1,110,NA,NA,NA
A2018/05084,2015,6,2015-06-20,hunted,f,11,121,NA,NA,TRUE
A2011/05284,2010,7,2010-07-10,bycaught,m,0,85.5,NA,NA,NA
A2018/05093,2015,6,2015-06-20,hunted,f,13,119,NA,NA,TRUE
A2018/05094,2015,12,2015-12-13,hunted,m,19,134,NA,NA,NA
A2018/05095,2015,12,2015-12-13,hunted,m,5,139,NA,NA,NA
A2018/05098,2015,12,2015-12-28,hunted,m,4,123,NA,NA,NA
A2018/05103,2015,12,2015-12-06,hunted,m,20,127,NA,NA,NA
A2018/05104,2017,10,2017-10-06,hunted,f,17,136,FALSE,NA,NA
A2018/05118,2015,11,NA,hunted,f,10,139,TRUE,NA,NA
A2018/05141,2015,12,2015-12-12,hunted,m,4,117,NA,NA,NA
A2018/05143,2015,NA,NA,hunted,f,11,136,FALSE,TRUE,TRUE
A2018/05145,2015,12,2015-12-27,hunted,m,3,125,NA,NA,NA
A2018/05146,2015,12,2015-12-27,hunted,m,15,141,NA,NA,NA
A2018/05147,2015,12,2015-12-06,hunted,m,1,97,NA,NA,NA
A2018/05154,2017,10,2017-10-01,hunted,m,6,128,NA,NA,NA
A2018/05172,2016,10,2016-10-12,hunted,m,17,122,NA,NA,NA
A2018/05187,2015,12,2015-12-27,hunted,m,6,111.5,NA,NA,NA
A2018/05188,2015,12,2015-12-27,hunted,m,2,108,NA,NA,NA
A2018/05189,2016,10,2016-10-12,hunted,f,3,117,FALSE,FALSE,FALSE
A2018/05190,2013,11,2013-11-01,hunted,f,3,121,TRUE,FALSE,FALSE
A2018/05279,2017,8,2017-08-29,hunted,m,NA,139,NA,NA,NA
A2018/05280,2017,8,2017-08-01,hunted,f,9,128,TRUE,TRUE,NA
A2018/05281,2017,10,2017-10-29,hunted,f,11,152,TRUE,NA,NA
A2018/05289,2017,10,2017-10-01,hunted,m,5,129,NA,NA,NA
A2018/05290,2017,10,2017-10-05,hunted,f,17,134,TRUE,NA,NA
A2018/05293,2017,5,2017-05-21,hunted,f,2,NA,FALSE,FALSE,FALSE
A2018/05294,2017,10,2017-10-06,hunted,f,12,131,TRUE,NA,TRUE
A2018/05295,2017,8,2017-08-21,hunted,f,NA,133.5,TRUE,NA,NA
A2018/05296,2017,10,2017-10-06,hunted,m,23,137,NA,NA,NA
A2018/05297,2017,8,2017-08-21,hunted,m,8,138.5,NA,NA,NA
A2018/05302,2016,8,2016-08-01,hunted,f,NA,140,TRUE,NA,NA
A2018/05314,2016,8,2016-08-01,hunted,m,16,131.5,NA,NA,NA
A2018/05315,2015,12,2015-12-28,hunted,m,2,110.5,NA,NA,NA
A2018/05316,2015,12,2015-12-28,hunted,m,3,107,NA,NA,NA
A2018/05317,2018,6,2018-06-13,hunted,m,5,130,NA,NA,NA
A2018/05318,2018,6,2018-06-14,hunted,m,1,105,NA,NA,NA
A2018/05320,2018,6,2018-06-12,hunted,f,3,120,NA,NA,FALSE
A2018/05321,2019,6,2019-06-05,hunted,m,9,134,NA,NA,NA
A2018/05481,2016,5,2016-05-09,hunted,f,12,140,NA,NA,NA
A2018/05482,2017,5,2016-05-09,hunted,m,1,102,NA,NA,NA
A2018/05483,2017,10,2017-10-08,hunted,f,18,138,TRUE,TRUE,NA
A2018/05484,2017,9,2017-09-25,hunted,m,10,126.5,NA,NA,NA
A2018/05485,2017,9,2017-09-24,hunted,m,5,149,NA,NA,NA
A2018/05486,2017,10,2017-10-19,hunted,f,14,138,TRUE,TRUE,NA
A2018/05488,2017,11,2017-11-05,hunted,f,7,124,TRUE,TRUE,NA
A2018/05489,2017,10,2017-10-22,hunted,f,11,136.5,FALSE,NA,NA
A2018/05490,2016,8,2016-08-30,hunted,m,10,131,NA,NA,NA
A2018/05578,2016,8,2016-08-29,hunted,m,7,130,NA,NA,NA
A2018/05581,2016,8,2016-08-14,hunted,f,8,134,TRUE,FALSE,NA
A2018/05587,2018,5,2018-05-18,hunted,f,3,110,NA,FALSE,FALSE
