date,year,sampled,sex,body_length
7/12/20,2020,0,m,125
7/12/20,2020,0,f,114
7/12/20,2020,0,f,103
7/12/20,2020,0,m,100
7/12/20,2020,0,f,115
7/21/20,2020,0,f,155
7/21/20,2020,0,,
8/2/20,2020,0,f,130
8/2/20,2020,0,m,145
8/9/20,2020,0,m,142
11/12/20,2020,1,m,141
11/12/20,2020,1,m,140
11/12/20,2020,1,f,119
11/12/20,2020,1,m,115
11/12/20,2020,1,m,154
11/12/20,2020,1,m,122
11/12/20,2020,1,f,144
11/12/20,2020,1,m,142
11/12/20,2020,1,m,155
11/12/20,2020,1,m,145
5/1/21,2021,0,,
5/10/21,2021,1,f,106
5/10/21,2021,1,f,100
5/10/21,2021,1,f,122
5/10/21,2021,1,f,106
5/10/21,2021,1,f,115
5/6/21,2021,1,f,115
5/7/21,2021,1,f,135
5/7/21,2021,1,f,135
5/7/21,2021,1,f,130
5/13/21,2021,0,m,118
5/14/21,2021,1,f,110
5/5/21,2021,0,,
5/5/21,2021,0,,
5/5/21,2021,0,,
5/5/21,2021,0,,
5/5/21,2021,0,,
5/6/21,2021,0,,
5/6/21,2021,0,,
5/6/21,2021,0,,
5/6/21,2021,0,,
5/6/21,2021,0,,
5/6/21,2021,0,,
5/2/21,2021,0,,
5/2/21,2021,0,,
5/2/21,2021,0,,
5/2/21,2021,0,,
5/3/21,2021,0,,
5/3/21,2021,0,,
5/3/21,2021,0,,
5/3/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/14/21,2021,0,,
5/15/21,2021,1,f,115
5/16/21,2021,1,f,120
5/16/21,2021,1,f,122
5/16/21,2021,1,f,114
5/16/21,2021,1,f,108
5/16/21,2021,1,f,104
5/16/21,2021,1,f,124
5/16/21,2021,1,f,107
5/16/21,2021,1,f,119
5/16/21,2021,1,f,100
5/16/21,2021,1,f,120
5/16/21,2021,1,f,122
5/16/21,2021,1,f,119
5/16/21,2021,1,f,136
5/16/21,2021,1,f,121
5/16/21,2021,1,f,133
5/16/21,2021,1,f,129
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/15/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,1,f,125
5/16/21,2021,1,m,112
5/16/21,2021,1,f,128
5/16/21,2021,1,f,120
5/16/21,2021,0,m,119
5/16/21,2021,0,m,131
5/16/21,2021,0,m,127
5/16/21,2021,0,m,111
5/16/21,2021,1,f,119
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/16/21,2021,0,,
5/12/21,2021,0,,
5/12/21,2021,1,f,120
5/16/21,2021,0,m,147
5/17/21,2021,0,m,107
5/18/21,2021,0,m,105
5/19/21,2021,0,f,134
5/19/21,2021,0,f,118
5/19/21,2021,0,m,130
5/19/21,2021,0,f,122
5/19/21,2021,0,m,122
5/19/21,2021,0,m,125
5/19/21,2021,0,f,115
5/19/21,2021,0,m,128
5/19/21,2021,0,m,110
5/16/21,2021,0,m,147
5/17/21,2021,0,m,107
5/18/21,2021,0,m,105
5/19/21,2021,0,f,134
5/19/21,2021,0,f,118
5/19/21,2021,0,m,130
5/19/21,2021,0,f,122
5/19/21,2021,0,m,122
5/19/21,2021,0,m,125
5/19/21,2021,0,f,115
5/19/21,2021,0,m,128
5/19/21,2021,0,m,110
5/25/21,2021,0,m,125
5/25/21,2021,0,f,140
5/24/21,2021,0,f,120
5/24/21,2021,0,f,100
5/24/21,2021,0,f,132
5/24/21,2021,0,f,129
5/24/21,2021,0,f,117
